---,DisplayName,Description,Icon,EffectID,TargetType,Duration,bPersistent,bIsTraitBuff,TargetStat,StatFlags,GainCondition,Value,SecondaryValue,bHalveStacksOnTurnEnd
AddAttack,"","","None","StatModPercent","Individual","-1","False","False","ATK","1","None","10.000000","0.000000","False"
ReduceAttack,"","","None","StatModPercent","Individual","-1","False","False","ATK","1","None","-10.000000","0.000000","False"
AddMagicAttack,"","","None","StatModPercent","Individual","-1","False","False","MATK","2","None","10.000000","0.000000","False"
ReduceMagicAttack,"","","None","StatModPercent","Individual","-1","False","False","MATK","2","None","-10.000000","0.000000","False"
FirstStrike,"先手强化","先手攻击时本次攻击伤害+50%","None","DirectDamageGain","Individual","1","False","False","ATK","0","None","50.000000","0.000000","False"
FireDualAtk,"火系双攻","使用火系技能后获得，双攻+10%","None","StatModPercent","Individual","-1","False","True","ATK","3","None","10.000000","0.000000","False"
WaterCostDown,"水脉能耗","使用水系技能后获得，技能能耗-1","None","ModifyEnergyCost","Individual","-1","False","True","ATK","0","None","-1.000000","0.000000","False"
AddDefense,"物防提升","每层物防+10%","None","StatModPercent","Individual","-1","False","False","ATK","4","None","10.000000","0.000000","False"
ReduceDefense,"物防降低","每层物防-10%","None","StatModPercent","Individual","-1","False","False","ATK","4","None","-10.000000","0.000000","False"
AddMagicDefense,"魔防提升","每层魔防+10%","None","StatModPercent","Individual","-1","False","False","ATK","8","None","10.000000","0.000000","False"
ReduceMagicDefense,"魔防降低","每层魔防-10%","None","StatModPercent","Individual","-1","False","False","ATK","8","None","-10.000000","0.000000","False"
AddSpeed,"速度提升","每层速度+10","None","ModifySpeed","Individual","-1","False","False","ATK","0","None","10.000000","0.000000","False"
ReduceSpeed,"速度降低","每层速度-10","None","ModifySpeed","Individual","-1","False","False","ATK","0","None","-10.000000","0.000000","False"
Lifesteal,"吸血","攻击造成伤害时，按伤害量的10%恢复自身生命","None","Lifesteal","Individual","-1","False","False","ATK","0","None","10.000000","0.000000","False"
TraitLifesteal,"暗影吸血","入场时获得50%吸血，攻击时按伤害量的50%恢复自身生命","None","Lifesteal","Individual","-1","False","True","ATK","0","None","50.000000","0.000000","False"
DualDefenseUp,"双防提升","总技能能耗小于阈值时，双防+80%","None","StatModPercent","Individual","-1","False","True","ATK","12","None","80.000000","0.000000","False"
FireFirstAtk,"首击烈焰","入场后首回合物攻+100%","None","StatModPercent","Individual","1","False","True","ATK","1","None","100.000000","0.000000","False"
EnergyDefense,"能量壁垒","每有 1 能量双防 +10%（按当前能量实时更新层数）","None","StatModPercent","Individual","-1","False","True","ATK","12","None","10.000000","0.000000","False"
Poison,"中毒","回合结束每层造成3%最大生命毒系伤害，毒系免疫","None","TurnEndElementDamage","Individual","-1","False","False","ATK","0","None","3.000000","11.000000","False"
Burn,"灼烧","回合结束每层造成2%最大生命火系伤害并层数减半，火系免疫","None","TurnEndElementDamage","Individual","-1","False","False","ATK","0","None","2.000000","2.000000","True"
